Language,Latitude,Longitude,Divisions(Each Language),Teachers,School Code,School Name,School Type,Slno,Standards,Strength(Each Language),School Type
"MALAYALAM,ENGLISH",10.168004,76.443683,"4,4",8,25429,B. J. B. S. Kalady,A,81,1 to 4,"86,162",LP
MALAYALAM,10.185529,76.397308,5,6,25448,Govt. J. B. S. Angamally,G,82,1 to 5,32,LP
MALAYALAM,10.251922,76.476072,4,5,25405,Govt. L. P. S. Chully,G,83,1 to 4,45,LP
MALAYALAM,10.15632,76.305152,4,5,25408,Govt. L. P. S. Kunnuvayal,G,84,1 to 4,40,LP
MALAYALAM,10.137111,76.362016,7,11,25456,Govt. U. P. S. Kaprassery,G,85,1 to 7,152,UP
MALAYALAM,10.219377,76.485732,4,4,25428,Gurudevan L. P. S. Kannimangalam,A,86,1 to 4,11,LP
MALAYALAM,10.258237,76.52463,10,17,25083,Kalady Plantation H. S. Kalady Plantation,A,87,1 to 10,137,HS
"MALAYALAM,ENGLISH",10.273743,76.412785,"7,7",16,25460,O. L. P. H. U. P. S. Edakkunnu,A,88,1 to 7,"176,294",UP
MALAYALAM,10.183656,76.367535,4,4,25422,St. Antony`s L. P. S. Champannur,A,89,1 to 4,36,LP
MALAYALAM,10.228326,76.380316,29,46,25041,St. Joseph`s Girls H. S. Karukutty,A,90,5 to 10,1161,HS
MALAYALAM,10.211564,76.38128,2,4,25424,St. Joseph`s L. P. S. Karayamparambu,A,91,1 to 4,5,LP
MALAYALAM,10.208262,76.336648,0,4,25423,St. Rockey`s L. P. S. Elavoor,A,92,1 to 4,0,LP
MALAYALAM,10.21279,76.448179,260,9,25435,St. Mary`s L. P. S. Manjapra,A,93,1 to 4,249,LP
"MALAYALAM,ENGLISH",10.085372,76.209371,"18,2",31,26022,K.P.M.H.S. Edavanakkad,A,94,5 to 10,"727,88",HS
MALAYALAM,10.096061,76.474017,10,15,27258,G.U.P.S. Allapra,G,95,1 to 7,216,UP
MALAYALAM,10.105029,76.434277,7,10,27206,Govt. UPS North Ezhipram,G,96,1 to 7,134,UP
MALAYALAM,10.061519,76.455506,7,10,27210,Govt. UPS Perumani,G,97,1 to 7,68,UP
MALAYALAM,10.096077,76.470242,7,11,27202,Govt. UPS Kandanthara,G,98,1 to 7,89,UP
"MALAYALAM,ENGLISH",10.097434,76.45305,"20,16",49,27017,Jama - Ath H S S Thandakad,A,99,1 to 10,"740,637",HS
MALAYALAM,10.100909,76.441809,4,5,27247,LPS North Ponjassery,A,100,1 to 4,96,LP
"MALAYALAM,ENGLISH",10.116774,76.429428,"4,4",10,27245,LPS Pallippuram Marampally P.O,A,101,1 to 4,"75,240",LP
MALAYALAM,9.936153,76.327467,4,5,26405,Govt. .LP.S. Mangayil,G,102,1 to 4,32,LP
MALAYALAM,9.93675,76.327055,9,19,26044,Govt. V.H.S.S. Mangayil,G,103,5 to 10,209,HS
MALAYALAM,9.941616,76.316048,4,5,26411,Govt. J.B.S Kundannoor,G,104,1 to 4,18,LP
MALAYALAM,9.941048,76.332277,4,4,26423,S.D.V.L.P.S. Maradu,A,105,1 to 4,30,LP
"MALAYALAM,ENGLISH",9.937475,76.323012,"9,4",17,26444,St. Mary`s U.P.S. Moothedam,A,106,1 to 7,"242,118",UP
MALAYALAM,9.92828,76.312112,7,10,26446,S.V.U.P.S. Nettoor,A,107,1 to 7,122,UP
MALAYALAM,9.992497,76.265248,53,4,26226,Aided L.P.S. Mulavucad,A,108,1 to 4,53,LP
MALAYALAM,9.896862,76.336985,4,4,26211,Desabandhu School. Cheppanam,A,109,1 to 4,107,LP
MALAYALAM,10.008309,76.241325,5,6,26244,Govt. Fisheries L.P.S. Panambukadu,G,110,1 to 4,26,LP
MALAYALAM,9.905119,76.326776,4,5,26206,Govt. L.P.S. Udayathumvathukkal,G,111,1 to 4,61,LP
MALAYALAM,10.002554,76.262742,11,22,26081,Hidayathul Islam H.S. Ponnarimangalam,A,112,1 to 10,299,HS
MALAYALAM,9.889093,76.312644,4,4,26223,N.I.J.L.P.S. Kumbalam,A,113,1 to 4,17,LP
"MALAYALAM,ENGLISH",9.897337,76.309206,"8,6",26,26041,R.P.M.H.S. Kumbalam,A,114,5 to 10,"277,105",HS
MALAYALAM,9.897971,76.309606,28,4,26224,Sree Rama Varma S.M.G.L.P.S.Kumbalam,A,115,1 to 4,29,LP
