Language,Latitude,Longitude,Divisions(Each Language),Teachers,School Code,School Name,School Type,Slno,Standards,Strength(Each Language),School Type
MALAYALAM,9.934605,76.658281,4,4,28207,St. Thomas L P S Mudappannoor,A,648,1 to 4,22,LP
MALAYALAM,9.937825,76.605088,4,4,28214,St. Thomas L P S Nadukkara,A,649,1 to 4,20,LP
"MALAYALAM,ENGLISH",10.037079,76.543006,"4,3",10,27335,Govt. LPBS Thrikkalathoor,G,650,1 to 4,"91,77",LP
MALAYALAM,10.038665,76.538857,4,5,27336,Govt. LPGS Thrikkalathoor,G,651,1 to 4,50,LP
MALAYALAM,10.02392,76.591495,7,11,27310,Govt. UPS Mulavoor,G,652,1 to 7,130,UP
MALAYALAM,10.044786,76.563871,7,11,27309,Govt. UPS Paipra,G,653,1 to 7,126,UP
"MALAYALAM,ENGLISH",9.874056,76.289335,"7,5",25,26043,Our Lady Of Fathima Girls H.S. Kumbalangy,A,654,8 to 10,"255,188",HS
"MALAYALAM,ENGLISH",9.881557,76.286533,"24,11",56,26042,St. Peter`s H.S.S. Kumbalangy,A,655,5 to 10,"1043,361",HS
MALAYALAM,9.873842,76.290073,9,13,26333,Govt. U.P.S. Kumbalangy,G,656,1 to 7,226,UP
"MALAYALAM,ENGLISH",9.860026,76.265585,"18,1",27,26003,Govt. H.S.S Puthenthode,G,657,1 to 10,"612,21",HS
"MALAYALAM,ENGLISH",10.060048,76.303473,"10,7",21,25260,Guardian Angel`s U. P. S. Manjummel,A,658,1 to 7,"256,331",UP
MALAYALAM,10.082659,76.31194,10,19,25110,Govt. H. S. Binanipuram,G,659,1 to 10,130,HS
MALAYALAM,10.076715,76.319575,6,13,25014,Govt. H. S. S. Eloor,G,660,8 to 12,160,HS
MALAYALAM,10.105557,76.276209,10,19,25104,Govt. H. S. S. Kongorpilly,G,661,1 to 10,216,HS
"MALAYALAM,ENGLISH",10.087812,76.318593,"21,0",37,25057,Govt. H. S. S. Muppathadom,G,662,1 to 10,"727,0",HS
MALAYALAM,10.074027,76.292906,5,6,25246,Govt. L. P. S. Eloor,G,663,1 to 5,68,LP
MALAYALAM,10.128973,76.29819,4,5,25207,Govt. L. P. S. Kottappuram,G,664,1 to 4,36,LP
MALAYALAM,10.117567,76.283624,4,5,25208,Govt. L. P. S. Neericode,G,665,1 to 4,20,LP
MALAYALAM,10.103044,76.294205,4,6,25210,Govt. L. P. S. Panaikulam,G,666,1 to 4,77,LP
MALAYALAM,10.11874,76.306702,4,5,25211,Govt. L. P. S. Thiruvalloor,G,667,1 to 4,24,LP
MALAYALAM,10.098676,76.342701,5,7,25248,Govt. L. P. S. Uliyannoor,G,668,1 to 5,57,LP
MALAYALAM,10.135787,76.314592,7,11,25255,Govt. M. I. U. P. S. Veliyathunad,G,669,1 to 7,91,UP
MALAYALAM,10.076406,76.269121,10,14,25249,Govt. U. P. S. Chirakkakam,G,670,1 to 7,270,UP
MALAYALAM,10.067433,76.322828,7,11,25252,Govt. U. P. S. Kuttikkattukara,G,671,1 to 7,104,UP
"MALAYALAM,ENGLISH",10.068914,76.279686,"14,3",27,25079,Holy Infant`s Boys H. S. Varapuzha,A,672,1 to 10,"662,99",HS
"MALAYALAM,ENGLISH",10.069095,76.269997,"4,4",8,25237,Infant Jesus L. P. S. Thundathumkadavu,A,673,1 to 4,"71,108",LP
MALAYALAM,10.112333,76.294754,4,4,25228,S. N. L. P. S. Koduvazhanga,A,674,1 to 4,108,LP
MALAYALAM,10.091455,76.275287,6,4,25231,Little Flower L. P. S. Olanad,A,675,1 to 4,128,LP
"MALAYALAM,ENGLISH",10.071286,76.317011,"7,14",23,25257,M. E. S. Eastern U. P. S. Eloor,A,676,1 to 7,"138,508",UP
MALAYALAM,10.127069,76.329779,4,5,25203,Settlement Govt. L. P. S. Aluva,G,677,1 to 4,48,LP
"MALAYALAM,ENGLISH",10.083882,76.271677,"14,6",32,25101,St. George H. S. Puthenpally,A,678,1 to 10,"412,162",HS
"MALAYALAM,ENGLISH",10.068165,76.278977,"12,10",37,25078,St. Joseph`s H. S. for Girls Varapuzha,A,679,5 to 10,"554,485",HS
MALAYALAM,10.075117,76.279905,4,5,25229,St. Joseph`s L. P. S. Mannanthuruth,A,680,1 to 4,64,LP
"MALAYALAM,ENGLISH",10.078819,76.277408,"4,4",8,25239,St. Joseph`s L. P. S. Varapuzha,A,681,1 to 4,"136,238",LP
"MALAYALAM,ENGLISH",10.122593,76.300434,"6,4",11,25214,St. Mary`s L. P. S. Alangad,A,682,1 to 4,"157,152",LP
"MALAYALAM,ENGLISH",10.152847,76.263898,"8,2",14,25857,Ansarul Islam Sanghom U. P. S. Manjaly,A,683,1 to 7,"267,61",UP
MALAYALAM,10.13148,76.28153,8,20,25075,F. M. C. T. H. S. Karumalloor,A,684,8 to 10,312,HS
MALAYALAM,10.139279,76.266426,4,5,25821,Govt. L. P. S. Karumalloor,G,685,1 to 4,112,LP
"MALAYALAM,ENGLISH",10.137569,76.268832,"11,7",21,25858,St. Little Teresa`s U. P. S. Karumalloor,A,686,1 to 7,"294,309",UP
,10.10402,76.292629,,0,25244,Little Flower L. P. S. Panaikulam,A,687,0 to 0,,LP
"MALAYALAM,ENGLISH",9.975154,76.314801,"14,18",51,26059,Christ King C.G.H.S. Ponnurunny,A,688,5 to 10,"600,978",HS
MALAYALAM,9.972882,76.316756,4,4,26426,S.P.Y.L.P.S. Ponnurunni,A,689,1 to 4,37,LP
MALAYALAM,9.958129,76.319559,7,10,26448,St. Augustine`s U.P.S. Thykoodam,A,690,1 to 7,131,UP
"MALAYALAM,ENGLISH",9.953315,76.329227,"11,13",29,26442,St. George`s U.P.S. Poonithura,A,691,1 to 7,"363,534",UP
MALAYALAM,9.946884,76.566053,6,13,28030,Govt. V H S S East Marady,G,692,5 to 12,42,HS
MALAYALAM,9.928954,76.576643,5,5,28315,Little Flower L P S Meenkunnam,A,693,1 to 5,95,LP
MALAYALAM,9.954082,76.54009,3,10,28428,Emmanuel U P S Kayanad,A,694,5 to 7,30,UP
MALAYALAM,10.01731,76.566103,12,23,28034,Govt. H S Pezhakkappilly,G,695,1 to 10,270,HS
MALAYALAM,9.991213,76.512274,4,5,28403,Govt. L P S Kunnackal West,G,696,1 to 4,18,LP
MALAYALAM,9.969559,76.534504,4,5,28404,Govt. L P S Mekkadampu,G,697,1 to 4,31,LP
MALAYALAM,9.980674,76.521321,4,5,28406,Govt. L P S Valakom,G,698,1 to 4,43,LP
MALAYALAM,9.991847,76.536082,7,10,28419,Govt. U P S Kunnackal,G,699,1 to 7,105,UP
MALAYALAM,9.995341,76.604996,4,5,28412,M E S L P S Punnamattom,A,700,1 to 4,100,LP
"MALAYALAM,ENGLISH",9.999356,76.556836,"16,11",12,27351,Milady Sherif Memorial LPS Mulavoor,A,701,1 to 4,"604,408",LP
"MALAYALAM,ENGLISH",9.952035,76.29393,"10,36",68,26068,C.C.P.L.M.A.I.H.S. Perumanoor,A,702,1 to 10,"180,1761",HS
MALAYALAM,9.963977,76.299124,38,4,26215,Girinagar L.P.S. Kadavantra,G,703,1 to 4,38,LP
"MALAYALAM,ENGLISH",9.996144,76.325799,"258,258",10,26207,Govt. L.P.S. Vennala,G,704,1 to 4,"247,247",LP
MALAYALAM,10.009681,76.276635,2,2,26234,Infant Jesus. L.P.S. Vaduthala,A,705,3 to 4,4,LP
"MALAYALAM,ENGLISH",9.938052,76.295778,"6,6",24,26067,Sacred Heart H.S.S. Thevara,A,706,8 to 10,"245,358",HS
"MALAYALAM,ENGLISH",9.996584,76.281804,"14,10",38,26083,Sree Narayana H.S.S. Trikkanarvattom,A,707,1 to 10,"352,348",HS
"MALAYALAM,ENGLISH",9.982635,76.277834,"12,12",12,26220,St. Mary`s C.G.L.P.S. Ernakulam,A,708,1 to 4,"326,326",LP
MALAYALAM,10.022705,76.274127,4,4,26235,St. Antony`s .L.P.S Vaduthala,A,709,1 to 4,95,LP
"MALAYALAM,ENGLISH",9.989466,76.289943,"10,8",33,26034,St. Augustin`s H.S. Ernakulam,A,710,5 to 10,"272,389",HS
MALAYALAM,10.028235,76.297734,4,5,26230,St. Ignatious Leyola. L.P.S. Ponel,A,711,1 to 4,63,LP
MALAYALAM,9.9418,76.300454,4,4,26222,St. John`s L.P.S. Konthuruthy,A,712,1 to 4,14,LP
MALAYALAM,10.023064,76.2688,8,5,26236,St. Peter`s. L.P.S Vaduthala,A,713,1 to 4,218,LP
MALAYALAM,9.992624,76.308345,4,6,26227,St. Raphel`s L.P.S. Palarivattom,A,714,1 to 4,113,LP
MALAYALAM,10.013651,76.276418,34,4,26232,Thatazham L.P.S. Vaduthala,A,715,1 to 4,32,LP
"MALAYALAM,ENGLISH",9.902377,76.273452,"4,4",9,26322,V.V.L.P.S. Palluruthy,A,716,1 to 4,"78,85",LP
"MALAYALAM,ENGLISH",9.91852,76.27328,"5,14",21,26320,S.D.P.Y.L.P.S. Palluruthy,A,717,1 to 4,"172,566",LP
MALAYALAM,9.926954,76.269931,4,7,26321,S.V.D.L.P.S. Palluruthy,A,718,1 to 4,131,LP
"MALAYALAM,ENGLISH",9.933805,76.265189,"4,8",12,26317,St. Sebastian`s. L.P.S. Palluruthy,A,719,1 to 4,"106,299",LP
"MALAYALAM,ENGLISH",9.936027,76.261663,"9,8",17,26316,O.L.C.G.L.P.S .Palluruthy,A,720,1 to 4,"306,313",LP
MALAYALAM,9.93637,76.24544,4,4,26318,St. Antony`s. L.P.S .Saudi,A,721,1 to 4,27,LP
"MALAYALAM,ENGLISH",9.956737,76.256071,"4,10",17,26313,MMLPS Panayappilly,A,722,1 to 4,"130,285",LP
MALAYALAM,9.958158,76.255064,4,5,26311,H.E.H.M.M.L.P.S. Mattanchery,A,723,1 to 4,73,LP
MALAYALAM,9.960809,76.251825,4,5,26312,M.A.S.S.L.P.S Mattanchery,A,724,1 to 4,130,LP
"MALAYALAM,ENGLISH",9.955728,76.251048,"4,4",8,26310,T.D.L.P.S. Kochi,A,725,1 to 4,"59,124",LP
ENGLISH,9.960136,76.255501,24,28,26338,Sri Cochin Gujarathy Vidyalaya U.P.S. Kochi,A,726,1 to 7,880,UP
MALAYALAM,9.944252,76.257009,12,21,26055,St. Joseph`s H.S. Chullickal,A,727,1 to 10,204,HS
ENGLISH,9.963306,76.240166,32,47,26013,St. John De Britto`s A.I.H.S Fortcochin,A,728,1 to 10,1257,HS
"MALAYALAM,ENGLISH",9.936535,76.261462,"20,11",53,26058,Our Lady`s C.G.H.S. Palluruthy,A,729,5 to 10,"893,745",HS
"MALAYALAM,ENGLISH",9.958473,76.251535,"19,20",60,26011,T.D.H.S Mattanchery,A,730,5 to 10,"698,800",HS
MALAYALAM,9.918622,76.272649,38,60,26057,S.D.P.Y. Girls V.H.S.S. Palluruthy,A,731,5 to 10,1428,HS
"MALAYALAM,ENGLISH",9.956917,76.255949,"15,9",40,26085,M.M.O.V.H.S.S. Panayappilly,A,732,5 to 10,"522,347",HS
MALAYALAM,9.964609,76.26887,4,5,26304,Govt.. L.P.S. Willingdon Island,G,733,1 to 4,16,LP
MALAYALAM,9.959012,76.243036,7,10,26334,Govt. U.P.S. Thamaraparambu,G,734,1 to 7,21,UP
MALAYALAM,9.948881,76.257195,10,17,26091,Govt. H.S Panayappilly,G,735,1 to 10,78,HS
"MALAYALAM,ENGLISH",9.97471,76.313343,"5,8",13,26425,Christ King Convent .L.P.S. Ponnurunni,A,736,1 to 4,"185,346",LP
"MALAYALAM,ENGLISH",9.978068,76.314985,"10,5",29,26093,St. Ritas H.S. Ponnurunny,A,737,5 to 10,"290,236",HS
"MALAYALAM,ENGLISH",9.984774,76.287499,"12,21",49,26082,Darul Uloom H.S.S. Ernakulam,A,738,1 to 10,"343,851",HS
MALAYALAM,9.961903,76.295204,3,10,26031,Govt. H.S. Panampilly Nagar,G,739,8 to 10,45,HS
"MALAYALAM,ENGLISH",10.04189,76.298023,"24,10",41,26065,Govt. H.S.S and V.H.S.S. Edappally North,G,740,1 to 12,"469,348",HS
"MALAYALAM,ENGLISH",9.967938,76.288575,"5,9",28,26035,Govt. H.S.S. for Girls Ernakulam,G,741,8 to 10,"196,355",HS
MALAYALAM,9.832847,76.544897,4,5,28302,Govt. L P S Elanji,G,742,1 to 4,22,LP
MALAYALAM,9.882035,76.574337,4,5,28308,Govt. L P S Vadakara,G,743,1 to 4,35,LP
"MALAYALAM,ENGLISH",9.877566,76.574632,"4,7",10,28313,Little Flower L P S Vadakara,A,744,1 to 4,"94,299",LP
MALAYALAM,9.845332,76.566738,4,4,28311,St. George`s L P S Mutholapuram,A,745,1 to 4,81,LP
"MALAYALAM,ENGLISH",9.830294,76.553309,"6,6",21,28022,St. Paul`s H S Mutholapuram,A,746,5 to 10,"200,216",HS
MALAYALAM,9.830164,76.553812,4,4,28309,St. Peter`s L P S Elanji,A,747,1 to 4,110,LP
MALAYALAM,9.846307,76.542662,7,9,28321,St. Xavier`s U P S Kooru,A,748,1 to 7,85,UP
MALAYALAM,9.819972,76.553915,3,6,28323,Vidyamandiram U P S Alapuram,A,749,5 to 7,48,UP
MALAYALAM,9.855694,76.527054,4,4,28519,C M S L P S Piravom,A,750,1 to 4,51,LP
MALAYALAM,9.967142,76.504624,10,19,28047,Govt. H S Ooramana,G,751,1 to 10,192,HS
MALAYALAM,9.870532,76.486033,6,13,28018,Govt. H S Piravom,G,752,5 to 10,128,HS
MALAYALAM,9.879347,76.479992,4,5,28501,Govt. L P S Kalampoor,G,753,1 to 4,23,LP
MALAYALAM,9.928209,76.491044,4,5,28502,Govt. L P S Kizhumury,G,754,1 to 4,20,LP
"MALAYALAM,ENGLISH",9.904511,76.458314,"4,4",9,28503,Govt. L P S Maneed,G,755,1 to 4,"90,162",LP
MALAYALAM,9.854883,76.524292,4,5,28504,Govt. L P S Namakuzhy,G,756,1 to 4,34,LP
MALAYALAM,9.878939,76.480641,5,6,28521,Govt. L P S Pazhoor,G,757,1 to 5,22,LP
MALAYALAM,9.943378,76.482904,4,5,28509,Govt. L P S Ramamangalam,G,758,1 to 4,25,LP
MALAYALAM,9.87089,76.486838,4,5,28508,Govt. L P S Piravom,G,759,1 to 4,32,LP
MALAYALAM,9.881977,76.486617,7,10,28523,Govt. U P S Kakkad,G,760,1 to 7,52,UP
MALAYALAM,9.879507,76.480236,3,5,28533,Govt. U P S Kalampoor,G,761,5 to 7,30,UP
MALAYALAM,9.890837,76.500742,7,10,28526,Govt. U P S Onakkoor North,G,762,1 to 7,99,UP
MALAYALAM,9.933282,76.522174,7,10,28527,Govt. U P S Piramadom,G,763,1 to 7,42,UP
"MALAYALAM,ENGLISH",9.906182,76.454075,"6,6",22,28045,Govt. H S Maneed,G,764,5 to 10,"180,146",HS
"MALAYALAM,ENGLISH",9.875384,76.489402,"19,16",52,28017,M K M H S Piravom,A,765,5 to 10,"631,616",HS
"MALAYALAM,ENGLISH",9.926765,76.520915,"10,12",35,28024,M T M H S Pampakuda,A,766,5 to 10,"319,495",HS
MALAYALAM,9.858007,76.507555,4,4,28517,St. Antony`s L P S Mulakkulam,A,767,1 to 4,40,LP
MALAYALAM,9.886343,76.45886,3,6,28534,St. Gregorius U P S Karoor,A,768,5 to 7,28,UP
MALAYALAM,9.874477,76.497339,8,8,28520,St. Joseph`s L P S Piravom,A,769,1 to 4,230,LP
"MALAYALAM,ENGLISH",9.904735,76.517651,"7,10",15,28529,St. Mary`s U P S Anchelpetty,A,770,1 to 7,"190,295",UP
"MALAYALAM,ENGLISH",10.01402,76.300088,"3,2",13,26060,Govt. H.S.S. Edappally,G,771,8 to 10,"120,31",HS
"MALAYALAM,ENGLISH",10.020074,76.291299,"15,11",45,26092,Govt. H.S.S. Elamakkara,G,772,1 to 10,"578,430",HS
MALAYALAM,9.968047,76.288376,5,7,26202,Govt. L.P.S. For Girls Ernakulam,G,773,1 to 4,150,LP
MALAYALAM,10.010376,76.31361,4,5,26204,Govt. L.P.S. Padivattom,G,774,1 to 4,23,LP
MALAYALAM,9.929798,76.302111,3,8,26077,Govt. R.F.T.H.S. Thevara,G,775,8 to 10,35,HS
"MALAYALAM,ENGLISH",10.008546,76.278193,"3,7",12,26245,Holy Family E.P.S Chathiath Vaduthala,A,776,1 to 7,"35,211",UP
MALAYALAM,9.984847,76.27454,4,4,26216,H.I.J.E.P.S Ernakulam,A,777,1 to 4,25,LP
MALAYALAM,10.000153,76.277475,4,4,26209,Lady Of Mount Carmel Boys L.P.S. Chathiath,A,778,1 to 4,26,LP
MALAYALAM,10.000989,76.277953,8,8,26217,Lady Of Mount Carmel C.G.L.P.S. Ernakulam,A,779,1 to 4,301,LP
MALAYALAM,10.004607,76.289469,7,9,26251,Little Flower U.P.S. Kaloor,A,780,1 to 7,41,UP
MALAYALAM,10.005829,76.296115,7,11,26252,Sharaful Islam U.P.S. Kaloor,A,781,1 to 7,54,UP
MALAYALAM,9.970358,76.285824,3,6,26263,Sree Rama Varma (D) U.P.S. Ernakulam,G,782,5 to 7,51,UP
MALAYALAM,9.963162,76.283351,7,9,26249,Sree Rudra Vilasom U.P.S. Ernakulam,A,783,1 to 7,30,UP
MALAYALAM,9.971036,76.287449,4,5,26203,S.R.V. Govt. L.P.S. Ernakulam,G,784,1 to 4,17,LP
"MALAYALAM,ENGLISH",9.970512,76.286575,"3,4",17,26029,S.R.V. Govt. Model. H.S.S and V.H.S.S Ernakulam,G,785,8 to 10,"88,133",HS
"MALAYALAM,ENGLISH",9.984661,76.278802,"4,4",9,26218,St. Albert`s L.P.S. Ernakulam,A,786,1 to 4,"34,232",LP
"MALAYALAM,ENGLISH",9.986275,76.283766,"16,12",43,26084,St. Antony`s H.S.S. Kacheripady,A,787,1 to 10,"497,787",HS
"MALAYALAM,ENGLISH",9.989187,76.289991,"4,4",8,26219,St. Augustine`s L.P.S. Ernakulam,A,788,1 to 4,"85,89",LP
"MALAYALAM,ENGLISH",10.022704,76.307248,"9,6",27,26063,St. George`s H.S Edappally,A,789,5 to 10,"275,248",HS
"MALAYALAM,ENGLISH",10.021113,76.306907,"4,4",9,26213,St. George`s.L.P.S. Edappally,A,790,1 to 4,"88,162",LP
MALAYALAM,9.967877,76.305753,4,4,26214,St. John`s L.P.S. Elamkulam,A,791,1 to 4,11,LP
"MALAYALAM,ENGLISH",9.99979,76.279623,"7,3",22,26080,St. Joseph`s H.S Chathiath,A,792,5 to 10,"258,146",HS
"MALAYALAM,ENGLISH",9.974417,76.289566,"7,10",20,26254,St. Joseph`s U.P.S. Karithala,A,793,1 to 7,"176,377",UP
"MALAYALAM,ENGLISH",9.982347,76.277938,"9,17",43,26038,St. Mary`s C.G.H.S.S. Ernakulam,A,794,5 to 10,"436,806",HS
"MALAYALAM,ENGLISH",9.938673,76.297319,"8,10",20,26246,St. Mary`s U.P.S Thevara,A,795,1 to 7,"175,499",UP
"MALAYALAM,ENGLISH",9.976163,76.278542,"4,18",22,26238,St. Teresa`s .C.G.L.P.S Ernakulam,A,796,1 to 4,"42,1023",LP
"MALAYALAM,ENGLISH",9.94708,76.293349,"15,17",47,26078,St. Thomas Girls H.S. Perumanoor,A,797,1 to 10,"554,765",HS
MALAYALAM,9.912952,76.292592,4,4,26319,St. Mary`s L.P.S. Edacochi,A,798,1 to 4,54,LP
"MALAYALAM,ENGLISH",9.957988,76.252251,"4,5",10,26309,T.D Girls. L.P.S Kochi,A,799,1 to 4,"90,192",LP
MALAYALAM,9.956972,76.245162,2,2,26305,S.J.D.L.P.S. Amaravathy,A,800,2 to 3,4,LP
"MALAYALAM,ENGLISH",9.964856,76.242078,"4,2",7,26308,Santacruz. L.P.S. Fortcochi,A,801,1 to 4,"63,48",LP
MALAYALAM,9.903483,76.295425,7,9,26339,St. Lawrence`s U.P.S. Edacochi,A,802,1 to 7,66,UP
"MALAYALAM,ENGLISH",9.90742,76.294582,"3,8",13,26348,P.V.M.M.A.I.U.P.S. Edakochi,A,803,1 to 7,"33,235",UP
MALAYALAM,9.916496,76.277709,7,9,26340,N.S.S U.P.S. Palluruthy,A,804,1 to 7,50,UP
"MALAYALAM,ENGLISH",9.973051,76.243756,"7,7",16,26337,Canossa U.P.S. Vypeen,A,805,1 to 7,"131,218",UP
"MALAYALAM,ENGLISH",9.958001,76.255293,"6,6",31,26017,H.E.H.M.M.H.S. Mattanchery,A,806,5 to 10,"206,56",HS
MALAYALAM,9.960811,76.257637,9,18,26016,L.L.C.H.S. Mattanchery,A,807,2 to 10,73,HS
ENGLISH,9.96568,76.242215,2363,55,26007,St. Mary`s A.I.G.H.S. Fortcochin,A,808,1 to 10,2268,HS
"MALAYALAM,ENGLISH",9.922934,76.255829,"7,7",24,26076,St. Louis H.S. Mundamveli,A,809,5 to 10,"172,216",HS
"MALAYALAM,ENGLISH",9.91375,76.263581,"31,11",62,26056,S.D.P.Y .Boys H.S.S. Palluruthy,A,810,5 to 10,"1079,477",HS
"MALAYALAM,ENGLISH",9.96516,76.242032,"6,6",23,26012,Santa Cruze H.S.S. Fortcochin,A,811,5 to 10,"153,191",HS
MALAYALAM,9.950697,76.244656,4,5,26302,E.M.G.L.P.S Fortcochi,G,812,1 to 4,22,LP
MALAYALAM,9.966938,76.252561,5,7,26330,Govt. L.P.S. Central Calvathy,G,813,1 to 5,42,LP
"MALAYALAM,ENGLISH",9.917642,76.277203,"99,99",12,26335,Govt. U.P.S. Palluruthy,G,814,1 to 7,"96,96",UP
MALAYALAM,9.967227,76.252291,7,10,26336,Govt. U.P.S. Amaravathy,G,815,1 to 7,31,UP
MALAYALAM,9.964315,76.268418,6,13,26021,Govt. H.S. Willington Island,G,816,5 to 10,22,HS
MALAYALAM,9.957739,76.246595,7,16,26087,Govt. H.S.S. Central Calvathy,G,817,5 to 10,139,HS
MALAYALAM,9.959462,76.251781,8,16,26020,Govt. H.S.S. For Girls Mattanchery,G,818,5 to 10,160,HS
MALAYALAM,9.951225,76.244347,10,20,26014,E.M .Govt. H.S.S. FortKochi,G,819,5 to 10,245,HS
"MALAYALAM,ENGLISH",9.944081,76.488737,"8,6",24,28014,H S Ramamangalam,A,820,5 to 10,"226,225",HS
MALAYALAM,9.906596,76.556288,10,18,28032,G H S Athanickal,G,821,1 to 10,205,HS
MALAYALAM,9.819104,76.551119,4,5,28301,Govt. L P S Alapuram,G,822,1 to 4,41,LP
MALAYALAM,9.870293,76.54899,4,5,28303,Govt. L P S Edayar,G,823,1 to 4,38,LP
MALAYALAM,9.887815,76.537604,4,5,28304,Govt. L P S Kakkoor,G,824,1 to 4,16,LP
MALAYALAM,9.951399,76.55655,4,5,28305,Govt. L P S Kurukkunnapuram,G,825,1 to 4,22,LP
MALAYALAM,9.902982,76.568299,4,5,28307,Govt. L P S Mannathoor,G,826,1 to 4,28,LP
"MALAYALAM,ENGLISH",9.881747,76.605996,"14,6",35,28033,Govt. Model H S Palakuzha,G,827,1 to 10,"398,91",HS
MALAYALAM,9.904966,76.585152,7,10,28316,Govt. U P S Aroor,G,828,1 to 7,82,UP
"MALAYALAM,ENGLISH",9.856332,76.592261,"9,5",17,28317,Govt. U P S Koothattukulam,G,829,1 to 7,"246,186",UP
MALAYALAM,9.905427,76.570346,7,10,28319,Govt. U P S South Marady,G,830,1 to 7,92,UP
MALAYALAM,9.888655,76.589045,7,10,28318,Govt. U P S Uppukandam,G,831,1 to 7,77,UP
MALAYALAM,9.890281,76.545809,10,17,28031,Govt. V H S S Thirumarady,G,832,1 to 10,205,HS
MALAYALAM,9.860039,76.597742,12,21,28012,H S Koothattukulam,A,833,5 to 10,369,HS
MALAYALAM,9.869912,76.548522,3,5,28322,Jawahar U P S Edayar,A,834,5 to 7,28,UP
"MALAYALAM,ENGLISH",9.877993,76.575118,"6,12",30,28009,L F High School Vadakara,A,835,5 to 10,"230,490",HS
"MALAYALAM,ENGLISH",9.88186,76.571713,"9,3",22,28010,St. John`s Syrian H S S Vadakara,A,836,5 to 12,"306,96",HS
MALAYALAM,9.882586,76.631292,4,4,28312,St. Mary`s L P S Marika,A,837,1 to 4,33,LP
MALAYALAM,9.833443,76.544359,4,4,28310,St. Paul`s L P S Mutholapuram,A,838,1 to 4,102,LP
"MALAYALAM,ENGLISH",9.832598,76.543893,"9,6",26,28023,St. Peter`s H S S Elanji,A,839,5 to 10,"304,203",HS
MALAYALAM,9.859375,76.622059,7,10,28320,St. Peter`s U P S Kozhippilly,A,840,1 to 7,162,UP
MALAYALAM,9.913642,76.488828,10,17,28046,Govt. H S Mammalassery,G,841,1 to 10,151,HS
MALAYALAM,9.919581,76.519468,11,18,28025,Govt. H S Pampakuda,G,842,1 to 10,221,HS
MALAYALAM,9.93482,76.469376,4,5,28505,Govt. L P S Nechoor,G,843,1 to 4,19,LP
MALAYALAM,9.902763,76.517145,7,10,28525,Govt. U P S Onakkoor South,G,844,1 to 7,76,UP
MALAYALAM,9.870163,76.452695,7,11,28528,Govt. U P S Veliyanad,G,845,1 to 7,85,UP
MALAYALAM,9.844574,76.44393,4,4,28514,L P S Kaippattoor,A,846,1 to 4,43,LP
MALAYALAM,9.87656,76.476926,4,4,28516,L P S Mangadappilly,A,847,1 to 4,77,LP
"MALAYALAM,ENGLISH",9.87402,76.496751,"6,4",22,28015,St. Joseph`s H S Piravom,A,848,8 to 10,"190,188",HS
"MALAYALAM,ENGLISH",10.017307,76.532275,"22,11",50,28020,Ebenezer H S Veettoor,A,849,5 to 10,"902,418",HS
MALAYALAM,9.982499,76.580473,6,14,28028,Govt. H S S Sivankunnu,G,850,5 to 12,50,HS
MALAYALAM,9.980702,76.554174,4,5,28401,Govt. L P S Kadathy,G,851,1 to 4,10,LP
MALAYALAM,9.959463,76.536036,4,5,28402,Govt. L P S. Kayanad,G,852,1 to 4,17,LP
MALAYALAM,9.981558,76.58109,7,8,28429,Govt.T.T.I Muvattupuzha,G,853,1 to 7,46,UP
MALAYALAM,10.006788,76.672713,7,10,28423,Govt. U P S Pulinthanam,G,854,1 to 7,83,UP
MALAYALAM,9.968988,76.551786,89,10,28424,Govt. U P S Rackad,G,855,1 to 7,84,UP
"MALAYALAM,ENGLISH",9.930722,76.601437,"9,4",24,28027,St. Joseph`s Girls H S Arakuzha,A,856,5 to 10,"284,122",HS
"MALAYALAM,ENGLISH",9.995152,76.587795,"24,13",66,28008,T.T.V.H.S.S Kavumkara,A,857,5 to 10,"890,367",HS
MALAYALAM,9.965128,76.635796,4,4,28211,Ayavana Panchayat L P S Enanelloor,A,858,1 to 4,12,LP
MALAYALAM,9.940161,76.644278,6,13,28039,Infant Jesus H S Vazhakulam,A,859,5 to 10,219,HS
MALAYALAM,9.982293,76.642561,4,4,28208,Sacred Heart L P S Ayavana,A,860,1 to 4,50,LP
MALAYALAM,9.989797,76.653437,7,10,28220,Sree Narayana U P S Ayavana,A,861,1 to 7,92,UP
"MALAYALAM,ENGLISH",9.925038,76.674067,"17,6",38,28040,Vimalamatha H S Kadalikkad Manjalloor,A,862,5 to 10,"575,272",HS
"MALAYALAM,ENGLISH",10.088911,76.612524,"3,3",16,27043,D B H S Thrikkariyoor,A,863,8 to 10,"110,55",HS
MALAYALAM,10.137966,76.690319,7,10,27312,Govt. HWUPS Thattekkad,G,864,1 to 7,108,UP
MALAYALAM,10.066501,76.628438,4,6,27338,Govt. LPGS Kothamangalam,G,865,1 to 4,53,LP
MALAYALAM,10.146617,76.727239,4,5,27344,Govt. LPS Kuttampuzha,G,866,1 to 4,34,LP
MALAYALAM,10.023485,76.657255,4,5,27345,Govt. LPS Mavudy,G,867,1 to 4,27,LP
MALAYALAM,10.140595,76.748595,7,10,27315,Govt. Tribal UPS Pinavoorkudy,G,868,1 to 7,149,UP
MALAYALAM,10.10862,76.803519,3,5,27308,Govt. UPS. Mamalakandam,G,869,5 to 7,55,UP
